tweets	sentiment	topics
Coronavirus rules for driving tests spark complaints https://t.co/bBYfzWBbQU via @IrishTimes	-1	3
@Lowjet @TheRightMelissa Well, at least you’re worm free lady. You and Dr Joe Rogan have fun playing witch doctor. Yes millions died because it’s a “media pandemic”. My God. There were all Sandy Hook like “crisis actors” or whatever you call them, right?! Pathetic	-1	7
@vtdigger Without covid we would not have learned the true degree to which Pharma, govs, health officials, doctors, scientists, billionaires, WHO  and the media care about our health. Their swinish behavior should not be forgotten.	-1	4
@JoelJeffcoat @IDMIdray @GeorgeTakei Even with the rollout of the vaccination and after 78% eligible people vaccinated, Covid still claimed more deaths in 2021 than 2020 when vaccine was still yet available.	-1	1
@Dingwall77 5 new COVID-19 cases reported in Guelph, active cases increase to 33 https://t.co/Hem6w0j7Hx	0	6
Many times over the years I've talked about "running from the plague"--i.e. it's a no-brainer that folks want to avoid a pandemic.  But given mask refusers and vaccine deniers, none of us can say this common sense thought anymore.  Truly unbelievable but here we are. https://t.co/W9oZx037f5	1	6
My HO: Everybody saying what to take for COVID….except the vaccine   😭😭😭😭	1	1
South African envoy says Omicron COVID-19 travel bans are discriminatory, and wouldn't have happened if variant began in Europe – ABC News https://t.co/tIDpQiedeA	-1	2
Coronavirus Live Updates: India Reports 8,895 New Covid Cases, 2,796 Deaths https://t.co/Uqwfts7g2P	0	6
@DrOz except the 2-3% of children that are expendable, according to you https://t.co/Is22tGrAHu	0	6
@RWMaloneMD When are we going to admit clearly COVID-19 is solidifying the militarization of the medical community?	-1	4
$SPY so Australia's military is rounding up people and bringing them to quarantine camps..uhhh what's going on. ️  #RecvProfit	-1	3
@BIGHIT_MUSIC Glad to hear they are going to take a break with their families. They have been working so hard especially during the pandemic to keep army’s spirits up.  Hope they enjoy their vacation and have a good rest 💜	1	4
Why is there not a vaccine for stupidity 🤣🤣🤣 because that's the one we should be forcing people to take ..	-1	1
@urcanadianright idk what for but i take vitamin d too twins and i also take zinc for covid	0	5
🔍 Do you think smoking behaviours have increased or decreased during the COVID-19 pandemic?  ⏰ Find out 4pm AEDT today at the @DaffodilCentre flagship seminar on COVID-19 and Cancer, where I'll be presenting the results of our new worldwide systematic review.  Register here 👇 https://t.co/KoPfYLgPaX	0	6
It’s not the vaccine that’s unsafe, it’s the research.  • Twitter: Research On Potential Heart Risks Of Covid Vaccine ‘Unsafe’   by Just News	-1	1
@ElliotRoy23 @TomReese1 @ACTBrigitte Prove it. Show me your source that proves someone, anyone has died from the vaccine. And even if one or two people died. Millions of lives have been saved. Vaccines are amazing feats of science and have been around for nearly 150 years.	1	1
rumours of Connecticut kidnapping suspect stopped at Canadian border with teenage girl due to lack of COVID-19 test	0	3
Was supposed to go to the game tomorrow night but COVID got me… #billsmafia you better rock that stadium tomorrow night	0	7
@LynAldenContact @INArteCarloDoss And what about boomer retirements, was already heading toward a peak, seems like pandemic might prompt earlier than planned retirements for this demo	0	4
@CTVVancouver Bullshit! It’s only 0.5% of 1% of the vaccine. GPS are saying don’t need it!	-1	1
#COVID19 We're shouting into the wind with this one, but here's the facts:  https://t.co/5xW1TJ8omA	0	6
@SusieBdds Girl... Are you the C0V1D vax?  Because you just made my heart stop.	-1	1
Canada has a high vax rate. I’m fully vaxed. But if the vaccines aren’t stopping the spread, they’re not working as well as we were told they would 80-90%. So they lied to get vax rates up? &amp; the vax coverage now is S/T not L/T lol. So ppl are now skeptical of what they say &amp; do https://t.co/66NF70zitW	-1	1
@McgibbonPaddy @DrEliDavid Hepatitis B vaccine requires  3 doses as does Haemophilus influenzae B. I guess those don’t work either huh?	1	1
@harrygermain4 @Gudemonster @Garrett_Archer It’s absolutely factual. Ask any hosiptialists how many young vaccinated Covid patients they have in their ICUs or even PCU. None.	1	1
Brutal corruption godfather dictator @KagutaMuseveni u everyday kill, torture and kidnap Ugandans. Where do u get guts of providing a genuine vaccine 💉 to save there lives?whom you shoot with bullets on daily basis? I pity the mad ppl who wil allow to take your killer vaccines https://t.co/vac8u3iQmg https://t.co/VP4Thf6EKZ	-1	1
The Devil We Know. But who ? this?  Mark Meadows said Donald Trump tested positive for Covid three days before his 1st debate against Joe Biden. Dear God. "Nothing was going to stop him from going out there." Trump said Meadows’ claim “Fake News!” https://t.co/3Sd48GpRnN	-1	4
@007Jerzy @ilatif @maircomm @bucly1 @jordanbpeterson @GetVaccinated Still something that’s hotly researched, but last I read the vaccine antigens lasts 5-12 months. The antigen from getting sick lasts less than 3-ish months. This varies wildly person to person but that’s the rough picture.	0	1
@NatalieSuB Proof of coersion if anyone gets vax injured and wants to sue.	0	1
@cincygreghoodin @GoBearcatsMBB @GoBEARCATS @uofcincy @uofcincyalumni @GoBearcatsUCATS Any reports of relaxing the mandate for those who are vaxxed?	0	3
@MJMcGuire Mark how you been well happy holidays to you and your family keep safe keep away from this never ending #Covid	1	7
@TBowers3 @wcsdistrict @PerryMSWolves @ColumbusHealth Will the 2nd dose for kids be held at the same spot. On the card we all got. It says December 10th?	0	1
@MarthaBG @BillKristol Insurance companies are making record breaking profits, they have no desire to end the pandemic.	-1	4
NYCFC's depth outlasts COVID-stricken Philadelphia as MLS Cup calls for Bronx Blues Casino News - https://t.co/jZpDqeGRkG https://t.co/gFYpzJq6Gn	0	6
@iwentrouge @ghoti00 @kakape Countries with the highest vaccination rates have the greatest availability of testing. Cities have more people in less space so infections are always higher. There are no regions where vaccine uptake is high enough to approach the herd immunity threshold.	0	1
@AgustYoonSuga Srsly! Ppl are sick, they get in different cars intentionally ofcourse cause of pcr test or quarantine... Uts not big deal why they makes it 🚶🏻‍♀️🚶🏻‍♀️🚶🏻‍♀️	0	5
@IainMulady @thisisnothappen @Cyclowarrior @danielmalmer @Awithonelison I'd like some study done on that.   Perhaps before the FDA approves the vaccine they can look into that.	0	1
It’s them trynna mandate the vaccine for me.. l work at a hospital where we see fully vaccinated ppl STILL get covid and STILL die .. so I’m good https://t.co/yvBzIr9Ptw	-1	1
The "Corona Countermeasures Liaison Conference" "established" by Japan's NPB and J League will promote the third vaccination.  The madness of doctors who received a huge reward from a pharmaceutical company.👿  Coronavirus does not exist  https://t.co/wvM5naHlY9  #NPB #JFA #IOC	-1	4
@LadeBackk This vaccine stuff is stupid. The more news that comes out, the more stupid vaccine shots sound	-1	1
How is 2019 the year before the pandemic about to be 3 years ago here soon when it literally felt like yesterday…that doesn’t sit right with me	-1	6
Have a beautiful time of rest and communion with your families @BTS_twt and thank you for all you’ve given to us, both throughout this pandemic and here in LA over the past few weeks💜💜💜	1	7
@Laineymac80 @scojw Or lack of causation, why do vaccine apologists always miss the second part.	0	1
@CaroleePond @RayDoesData @oliverdueck @Gov_NB Schools! Kids are eating in unventilated classrooms in large groups and covid is transmitted through the air. We cannot do that.  We also need to upgrade our masks to tight-fitting, gapless N95 respirators.	0	3
FINAL  #Hornets 130, #Hawks 127, Miles Bridges with 32, Kelly Oubre with 28.  Missing four rotation players due to COVID Protocols, hard to understate the massive nature. Biggest of the year, and a heckuva statement for the coaching acumen of James Borrego.  Home to Philly tmrw.	0	7
@iamgabesanchez Nice to see them all wearing masks, but I suspect it's not because they don't want to catch or spread Covid.	0	3
@andrew_lilico Can you please provide a link to "the consensus view of expert immunologists" that the epidemic was complete?  I'll wait....	0	6
@Will_Bunch A massive part of the country can’t be bothered to do minimal things for others about Covid, so I’m not going to hold my breathe. Americanism now just means selfish entitlement.	1	4
@AshleyRParker @jdawsey1 @thedailybeast We're specifically talking about TFG knowingly failing to warn U.S. about how dangerous this virus was in the midst of a deadly pandemic because he believed it helped his own re-election prospects—namely since he believed a quick re-opening of economy would help him win in Nov.	1	4
@MayorBen4BFLO No religion is anti vaccine. You’re making it up, and everyone knows that.	0	1
@MarmotaDeCampie Da! Sa le zica si👇 https://t.co/8PM26BO0jl Tatucu'Fauci oct.2019 stia clar"untested kind of vacc like an mRNA vaccine,would take at least a decade (if everything goes perfectly”)to go through proper trials and be approved by the FDA"  R.Bright iar asta stia vine virusul de la CH	-1	1
@DavidGeekie @PhilsandJenn Its not a vaccine it is not eradicating  anything. I your profile pic is befitting	-1	1
@TheLastDegree Dude, gold has literally done nothing and will continue to do nothing. The only reason it broke 2K was Covid-19, and then the vaccines absolutely killed its momentum. Anyone in crypto in the last year or two us laughing at you big time.	0	4
This is the best argument to bankrupt the meat industry. Meat causes pandemics. https://t.co/XI2oajv2Qi	1	4
Masked Chrissy Teigen and John Legend buy out entire row at NYC's vax only Radio City Music Hall 😂 https://t.co/bDOt3faTMt	1	7
@Salon So, while this is heartbreaking it's important to keep in mind that Trump/Kushner scuttled his own COVID reaction plan because it was mostly only affecting blue cities. And Trump still has the support of the republican base despite him trying to get democrats killed.	1	4
"ah but africa are underdeveloped and hence their methods of taking covid data will be inadequate!"  africa have a lot of practice in tracing infectious diseases which implies their covid data they is likely usable. and anecdotally, people aren't dying in huge numbers.	-1	6
@Wendell25 @flindall_steve Right but when 80% of people are vaxxed it isn’t that simple right? You’re still waaaaay more likely to get, get sick from, be hospitalized and die from COVID when unvaxxed.	1	1
How Covid pandemic took a big bite out of the restaurant business Among the hundreds that shut shop were popular brands that decided to consolidate, explore other models #Latest News by #BusinessStandard https://t.co/dQLZABkV7n	-1	4
@DHasper @MonicaGandhi9 He Twitter says he is a nurse! Still in the medical field! Hes also helped people learn a safer way to inject the vaccine, to reduce rare blood clots	1	1
The word "pandemic" has lost all meaning.	-1	6
as much as we want to always have content nothing makes us happier knowing that they'll be spending the holidays with their families and will have the vacation they deserve after being so active during the pandemic 🥺	1	7
Comedian Torches Anti-Vaxxer In The Audience With An Absolutely Killer Line https://t.co/DxD0RsH3ZG #SmartNews	1	7
@SaulSelig @Sunshin21176498 @AmerMedicalAssn Try again check Reuters fact check it was a lie told by a nut who is against vaccine he has been kicked off reputable sites he is anti vax and was caught spreading lies	1	1
Leaving Hawaii after a great week visiting family. Sadly we were prevented from supporting local restaurants due to @GovHawaii illogical Vax mandates. No Vax no entry. 💩The food trucks were killing it tho #hawaii #hawaiivaxmandate #savehawaiibusinesses #stopthemandates	-1	3
Got my much needed dose of divine feminine energy this Monday morning while taking these fucked up calls. 💗✨  @DojaCat #Woman   https://t.co/DoFHoP2E7y	0	8
@CTVBarrieNews Caution?  Lol. What for?  Everyone on this planet will catch this virus. It is in evitable. And a greater than 99% of us survive it and emerge on the other side unscathed and with full lifelong immunity. Let’s stop worrying about it, let’s get back to normal.	-1	6
As they should.Enjoy your rest. We will wait. You guys worked so hard and even with this pandemic you guys always found a way to make us forget our worries. Now please rest and spend these wonderful holidays   with your family.See you at the start  of the new chapter @BTS_twt 💜 https://t.co/ZIdlB75BFZ	1	7
The Moderna booster beat me like I been bootlegging Puff’s records. Schedule it for a Friday.	-1	1
AND FUCK COVID	-1	6
@WDWNT It seems to run against inflation so it’s not that tragic. The quality as always is good. I wonder how the service is. I loved the French exchange staff there. Are they there anymore since they were sent home when Covid hit ??	0	4
@Based_Sam @AllemandFrance @SenSanders It's all in the patents and Moderna at least have said they won't enforce theirs.  Hard IP issues asides, big pharma has also tied up the precursor manufacturing, distribution chains, factory set-up know how, ...  There are many levels to their control.	0	1
Dr. Oz, Running For U.S. Senate As A Republican, Has A History Of Donating To Democrats | The Daily Wire He’s anti gun, pro vaccine mandates. Another RINO. Stay away. https://t.co/lCNYDn1pBr	-1	4
got double vaxxed yesterday and today I’m sore as heck but I also went to the gym in the morning 🧍🏻‍♀️	-1	1
@BretWeinstein healthcare workers are there to help and save, not warmonger and spite. Vaccination is the safest way forward. I blame the mad Dr who said that MMR jabs caused autism. This conspiracy nonsense seems to have followed from him. Oh and the internet has done nothing good.	1	1
Brussels turning violent about wearing a mask and carrying a vaccination card is kinda relieving. We’re not the only country with crazy.	1	3
@POTUS The best protection against Omicron is simple: layered measures.  Vaccines are not enough on their own, especially w the high levels of community transmission we have.  Mask, vax, test, trace, isolate, quarantine, ventilate...it's not hard, yet the US is failing at COVID policy. https://t.co/ONi4YxLuJG	1	2
They been working hard even through the pandemic they deserve the rest https://t.co/N27BhuHOPV	1	7
⁦⁦@RepMTG⁩ There is a reason why I call you Empty Green. Your head is empty where your brain should be. The reason schools don’t close because of cancer is because cancer is not contagious! Jeez please just stop talking! https://t.co/ND1vbLfJMv	1	3
@tmprowell Pharmacists are another group to include in vaccine polls.	0	1
@thehowie 2/2 Huge obstacle. W/initial vax roll-out, there were many more large-site events that could be scheduled by phone or thru VAMS. It should be against the law for retailers to REQUIRE an online acct just to check booster availability.(plus, almost impossible to delete accts after)	0	1
@MeetThePress @chucktodd @SenatorBraun Don’t you all know by now that the government can only tell women what to do with their bodies!? The vaccine mandate tells men what they have to do with their bodies, hence, it’s a non-starter. #goptaliban	1	4
@AxieinfinitySam Good day manager Im Mary Rose from philippines I want to be part of your team and I have an experience how to play axie. I hope you are choosing me as one of your aspiring scholar. I have no work because of pandemic. God bless. And thank you!	1	4
@mtgreenee Natural immunity...?  Well I suppose that being dead will keep you from catching or passing on the virus...  I suppose the loss of anyone dumb enough to believe your mindless drivel won't be much of a loss for humanity as a whole in the long term...	1	5
20 years later we still take our shoes off for flights because 1 guy 1 time tried to use them as a bomb. Nearly 1,000,000 Americans have died from #COVID19 and we STILL don't have #covidvaccines and negative #covidtest requirements for flying in US. This is so messed up.	1	3
Whole pandemic still outside so I can’t sit next to new people 🎵	-1	7
@GunnelsWarren @LolaMotz Also I noticed.. there is NO 'inactive whole virus' vaccine type... in any western country. China's Coronavac - 2bln + doses tho. what!?! So I wait. Where's the conventional medicine? https://t.co/fUuXvjBm6K	0	1
Just saw 2 Yt girls take a shot &amp; toast to “Fuck Mennn” 😂 This other pandemic huh	0	7
The covid pandemic has demonstrated that universities can be operated in a completely online capacity without the need for physical buildings. This is a huge opportunity for the Right to make the case for online universities that reflect right-wing ideological values.	1	3
@Marcus4Georgia @RepMTG-You realize cancer is not contagious and not prevented by wearing a mask, social distancing, and vaccine? Asking for a cancer survivor whose family didn’t catch her breast cancer. My kids are safe. My husband is safe. F U	1	6
"In almost any country where people have been mostly disarmed or any country with minimal chance of a riot, the covid totalitarians are racing to grab every ounce of power they can before the population realizes what is happening." 👇 https://t.co/DoX0hudj3K	-1	4
@PhilsandJenn If the Vax was good they would not be forcing them on people no?they are forcing vax globally on billions of naturally healthy people who don't need the vax? they doing it for gold and control power no?	-1	1
@FonzoLand Yea more than half there starting  line up is out cuz of Covid lol so the hawks are poop for still losing to them	0	7
Release the intellectual property, @moderna_tx @pfizer No one is safe until everyone is safe. #VaccineEquity https://t.co/z3M4WIzzN2	-1	1
@aev1609 @MumfordSa @ProfColinDavis And vaccination, already tested to be safe.	0	1
Morning dose by minsung #MAMAVOTE #straykids https://t.co/g400eWZCSE	0	8
@WaveAether @FoxNews Is that even a question ma'am? If you're sick on times like this would you risk it? Oh yes that's right, if it was Trump or any Republicans goes out without a mask it'll be omg he's bad man they're bad man covid infected. But if it's Biden well its just colds right?🙄	-1	4
@mehdirhasan thank you for taking @WHO to task and putting them on the spot and for all who do not want vaccination #COVID19 all of the variants of the omega alphabet are #airborne period #WearADamnMask #GetVaccinated   💄Sheritha	1	3
@MSNBC @chrislhayes He tried using COVID as a biological weapon against his political opponent. Not even Putin  is that low.	1	4
@JustinM60714613 This is gonna blow your mind but the first step to dying from COVID is getting sick from COVID	0	5
@MrCrackMorris @ScottKi04258161 @zerohedge Yes you can. As I said, if the viral load decreases dramatically between transmissions then the vaccine is clearly effective. You’re just confused and stubbornly defending your point.	1	1
The pandemic really did test a lot of relationships, jobs, mental, all type of stuff. I went thru a breakup too 😩 #LAMH #lamhreunion	-1	7
@AKinkhabwala Watt didn't have covid, covid had Watt.	0	5
@ByYourLogic I didn't! think it depends on where you got the vax. got mine at a community drive thru clinic for childcare providers. didn't have to show anything	0	1
Quarantine compendium 1. The story of the return. #hongkong @kerryhotelhk @cathaypacific @ Hong Kong https://t.co/oCtgsxFe1l	0	3
Cmon jinjikook, let's get that quarantine 'super tuna' dance battle!! https://t.co/K5ZjMWWfHR	0	7
@akheriaty Omicron another virus.1955 I was part of the polio epidemic when we didn’t know the virus or the RX. We did it &amp; we made it. Wake up America gov. has you in sheer terror. We had plenty of viruses many in greater quantity &amp; as severe. We are doing it wrong. Live no fear	-1	1
Marlon Humphrey broken collarbone… that’s the season for the Ravens…. They had a good season for the circumstance. Now 24 guys on IR, now 9 studs/key players out for the year. 12 guys that have had COVID-19 this year. Worst O-line the Ravens had had in awhile. Good run boys.	0	7
@BestTwe55638359 @CrazyCrnBllBrd @iMadgen01 @molmccann for all who want the info on what is in the vaccine look for  all who want this information follow thread and click on green. this is listed at the top last time I looked if any one knows how to post to notifications I would be grateful	-1	1
@Angela84Rose @The_Other_Truth Masks DO slow down the spread of covid, as the scientific data I posted displayed.  Vaccine reduces instance of catching virus by 94% Both proven.  Memes are not science. Lies never win	1	3
@disclosetv Isn't it crazy when you tell ppl that refusal to take the vaccine would lead to jail sentences and they were saying it was covid hysteria and just conspiracy theories, now the same theories are being manifested right before our eyes.	-1	3
pre covid - middle of quarantine - now  i also changed my sexuality from bi (pre covid to half of middle of quarantine) to pansexual ! as well as my pronouns lol https://t.co/ZZOScJhzQL https://t.co/uRA21UzZK8	0	7
This is ridiculous. California: Lab that tests COVID on government employees sends data to Beijing, FBI alleges  https://t.co/B8Npb9MtMn	0	4
Dems were doing a covid deathcount under Trump, but they totally stopped the deathcount under Biden, but I'm here to tell you that Biden far exceeded the numbers under Trump, and that, with millions of vaccines freely available.	-1	4
@SportsCenter Oh, well with all the changes and battling covid, this is not news. They just need a fresh start next year	0	7
So rereading the Margolin Protocol. It’s interesting to print out and compare the Zelenko Protocols (all of them) and the FLCCC Protocol especially i-MASK. Margolin et al says for cold-like symptoms, double the prophylactic dose as treatment. There’s only one thing to add …/ctd	0	5
This is one STUPID BEEOCH! https://t.co/GH3sAPDR81	0	8
@parsonsfolly @onlyconnect71 I wish them a swift recovery. And, given there's no long-term data on covid either, I hope they don't suffer long-term effects.  I don't mean that in a snide way. We all make mistakes — small ones and big ones.	1	5
The bun has recently learned why he hasn't been feeling good this weekend.  Writer has covid.	0	5
Live in a pro-Trump county? You're nearly three times more likely to die of COVID-19 https://t.co/2FTEGSXn3i	-1	4
@yourheroatlas @M_DeWinter1844 Childhood Vaccines didn’t fully cover immunity till it caused herd immunity to come early. Let me see if I can find a citation explaining it. I’ll also link my blog on Vaccine Hesitation which also has some article citations on where I got that information	-1	1
@Sen_JoeManchin While I applaud your stance with regard to the mandates for private business, as a scientist who has worked in a hospital, I do not understand your support of the so-called vaccines.  Pfizer and Moderna jabs are not vaccines and have significant adverse effects.	-1	1
Top cited barriers preventing the unemployed from going back to work  #1  I’m concerned about covid #2  I’ve been ill  https://t.co/jarSZx8lgq https://t.co/X5X4tZV5WI	0	4
@JoeSmit05465144 @Anna72823388 I didn’t report my intense chest pain to the TGA after my first dose.  I didnt even tell a doctor because when I got the jab I was told it wouldn’t matter anyway-no I’m not exaggerating.  I’m crapping myself for the second.	-1	1
Don’t pull what you nuts did with Jimin last time taking pics of him in Europe :) doubt they’re flying anywhere with quarantine stuff but still :) :) :)	0	3
@wy_try @BradAnd49907186 @MaajidNawaz Explain how "vaccinating children will not mitigate death" to the families who've buried people because their kids brought it home or even died themselves.  I love, BTW, how you fearmongerers say "WHY DO WE SHUT ALL THE SCHOOLS?!?" and also; "Get your vax away from our kids!!"	1	1
@MOONLIGHTXSEOUL they have to quarantine anyway right	0	3
Can ppl make fake vaccine cards? Lbs	0	1
I’m standing in line and the guy behind me is basically breathing on me, with or without covid, get back.	-1	3
@shaelynavalon Ughhh me too. Different kind of drink, but I just quit sodas cold turkey, and I've been having literal withdrawal symptoms. The things I'd do to have a Dr. Pepper and NOT screw up my A1C..	0	8
@valoqnf cuz my teacher has covid	0	6
ZCPS9 Personnel conducted dialogue and  distributed face masks and  IEC Materials  regarding NTF-ELCAC, Campaign Against Illegal Drugs, RA 9262, COVID-19 prevention tips and  Anti-Criminality Campaign with hotline number of this station to the Constituents within AOR. https://t.co/EBwYCDoPc3	0	3
Is my now sudden quick breathing a COVID symptom or just because the Chiefs are playing on Sunday Night Football	1	7
@r3method @angrybklynmom Difference between COVID restrictions and plane restrictions is that COVID restrictions affect people on a daily basis and plane restrictions only affect people on the few occasions per year when they are flying.	0	3
@RepThomasMassie You tell ‘em. Wait a minute Isn’t a vaccine prevention and medical treatment lying in the ICU.	-1	1
@jayy_nicholas Where did I say anything about Pfizer? I took moderna. Either way I'll continue to get my information from peer review about all things covid. General rule tho, a huge pharma company doesn't have a vested interest in killing off their market.	0	1
@L_A_D_J @QuigleyMartin79 @BBCNews My vaccine doest work till you get yours, so hurry up and get yours so it won't like mine work, untill the other unvaxxed get there's as well.	1	1
@Jeevesy14 @KelseyHammon2 Incorrect. Polis and CDPHE launched a vaccine passport for unseated events over 500 with every county willing to go along with it. It's a state health order.	0	3
Watching the Covid episode of South Park and Randy fucking the bat that set the pandemic off got me crying	1	7
@MaggioMatt @MollyBeck @tatecurtis average age of death from 'COVID' is virtually identical to the general average age of death. Interesting indeed.	-1	6
It's like a toilet that didn't get flushed and covid is the flush, worked In some places more then others but, let's hope this winter is a growdy one..	0	6
Wing'n It Tantallon has more LIVE MUSIC.. FRIDAY DEC 10th, 6-8pm  TJ MYERS TJ will also be doing some of your favorite Christmas songs...come out and join in and sing along!! Tis da season to be merry!  Covid rules apply. Order online https://t.co/SYXHBgcvkx  902 820 9464 https://t.co/0nbrRbNLjt	0	7
The AZ vaccine's unlucky few https://t.co/AcpguGBfNP	-1	1
It’s really about to be 2 years since covid made its appearance……..that’s crazy.	0	6
@Arch_E_Texture @TheJayMan5 @Corey_Bender @jenafish17 @coach_bnapier Because he struggled to compete during a pandemic? You sure it wasn’t because of the utter collapse of the team? I’m 95% sure last year’s recruiting class had nothing to do with what happened to Florida the second half of this year.	0	7
What about losing my job! So? Work from home or get vaxxed. But I can't wfh! So? Your job is part of civilized society, which means you have a responsibility to participate safely in society. Get vaxxed and work in society, or don't and live remotely off the land somewhere.	1	4
@dottcom19 @RDeckard_2049 Kinda like the flu vaccine, right?	0	1
I cant believe hacky sack didnt come back for quarantine	0	3
Smoking gun confidential Pfizer document exposes FDA criminal cover-up of VACCINE DEATHS… they knew the jab was killing people in early 2021… three times more WOMEN than MEN | The Truth About Vaccines https://t.co/S8eBpDX0uF	-1	1
Nobody is forcing vaccines on anyone. Even mandates aren't forcing you to get vaccinated.   The choice is really whether you want to live in society or not. If you do, get vaxxed and your life will be free. If you don't, leave society and live remotely and also be free.	1	1
